IAPS Source file,Category,Game1 - Anime styled,Game2 - Cartoon style#1,Game3 - Rainbow colored,Game4 - Jet styled,Game5 - Eroded style,Game6 - Black and White,Game7 - Xray styled,Game8 - Pencil Sketched,Game9 - Cartoon style#2,Game10 - Pixel art/Thumbnail
1505.jpg,Pleasant,Game1_1505.jpg,Game2_1505.jpg,Game3_1505.jpg,Game4_1505.jpg,Game5_1505.jpg,Game6_1505.jpg,Game7_1505.jpg,Game8_1505.jpg,Game9_1505.jpg,Game10_1505.jpg
1604.jpg,Pleasant,Game1_1604.jpg,Game2_1604.jpg,Game3_1604.jpg,Game4_1604.jpg,Game5_1604.jpg,Game6_1604.jpg,Game7_1604.jpg,Game8_1604.jpg,Game9_1604.jpg,Game10_1604.jpg
1660.jpg,Pleasant,Game1_1660.jpg,Game2_1660.jpg,Game3_1660.jpg,Game4_1660.jpg,Game5_1660.jpg,Game6_1660.jpg,Game7_1660.jpg,Game8_1660.jpg,Game9_1660.jpg,Game10_1660.jpg
1710.jpg,Pleasant,Game1_1710.jpg,Game2_1710.jpg,Game3_1710.jpg,Game4_1710.jpg,Game5_1710.jpg,Game6_1710.jpg,Game7_1710.jpg,Game8_1710.jpg,Game9_1710.jpg,Game10_1710.jpg
2102.jpg,Neutral,Game1_2102.jpg,Game2_2102.jpg,Game3_2102.jpg,Game4_2102.jpg,Game5_2102.jpg,Game6_2102.jpg,Game7_2102.jpg,Game8_2102.jpg,Game9_2102.jpg,Game10_2102.jpg
2235.jpg,Neutral,Game1_2235.jpg,Game2_2235.jpg,Game3_2235.jpg,Game4_2235.jpg,Game5_2235.jpg,Game6_2235.jpg,Game7_2235.jpg,Game8_2235.jpg,Game9_2235.jpg,Game10_2235.jpg
2501.jpg,Pleasant,Game1_2501.jpg,Game2_2501.jpg,Game3_2501.jpg,Game4_2501.jpg,Game5_2501.jpg,Game6_2501.jpg,Game7_2501.jpg,Game8_2501.jpg,Game9_2501.jpg,Game10_2501.jpg
2512.jpg,Pleasant,Game1_2512.jpg,Game2_2512.jpg,Game3_2512.jpg,Game4_2512.jpg,Game5_2512.jpg,Game6_2512.jpg,Game7_2512.jpg,Game8_2512.jpg,Game9_2512.jpg,Game10_2512.jpg
2683.jpg,Unpleasant,Game1_2683.jpg,Game2_2683.jpg,Game3_2683.jpg,Game4_2683.jpg,Game5_2683.jpg,Game6_2683.jpg,Game7_2683.jpg,Game8_2683.jpg,Game9_2683.jpg,Game10_2683.jpg
3030.jpg,Unpleasant,Game1_3030.jpg,Game2_3030.jpg,Game3_3030.jpg,Game4_3030.jpg,Game5_3030.jpg,Game6_3030.jpg,Game7_3030.jpg,Game8_3030.jpg,Game9_3030.jpg,Game10_3030.jpg
3120.jpg,Unpleasant,Game1_3120.jpg,Game2_3120.jpg,Game3_3120.jpg,Game4_3120.jpg,Game5_3120.jpg,Game6_3120.jpg,Game7_3120.jpg,Game8_3120.jpg,Game9_3120.jpg,Game10_3120.jpg
3130.jpg,Unpleasant,Game1_3130.jpg,Game2_3130.jpg,Game3_3130.jpg,Game4_3130.jpg,Game5_3130.jpg,Game6_3130.jpg,Game7_3130.jpg,Game8_3130.jpg,Game9_3130.jpg,Game10_3130.jpg
3301.jpg,Unpleasant,Game1_3301.jpg,Game2_3301.jpg,Game3_3301.jpg,Game4_3301.jpg,Game5_3301.jpg,Game6_3301.jpg,Game7_3301.jpg,Game8_3301.jpg,Game9_3301.jpg,Game10_3301.jpg
4542.jpg,Neutral,Game1_4542.jpg,Game2_4542.jpg,Game3_4542.jpg,Game4_4542.jpg,Game5_4542.jpg,Game6_4542.jpg,Game7_4542.jpg,Game8_4542.jpg,Game9_4542.jpg,Game10_4542.jpg
4641.jpg,Pleasant,Game1_4641.jpg,Game2_4641.jpg,Game3_4641.jpg,Game4_4641.jpg,Game5_4641.jpg,Game6_4641.jpg,Game7_4641.jpg,Game8_4641.jpg,Game9_4641.jpg,Game10_4641.jpg
5594.jpg,Pleasant,Game1_5594.jpg,Game2_5594.jpg,Game3_5594.jpg,Game4_5594.jpg,Game5_5594.jpg,Game6_5594.jpg,Game7_5594.jpg,Game8_5594.jpg,Game9_5594.jpg,Game10_5594.jpg
5661.jpg,Pleasant,Game1_5661.jpg,Game2_5661.jpg,Game3_5661.jpg,Game4_5661.jpg,Game5_5661.jpg,Game6_5661.jpg,Game7_5661.jpg,Game8_5661.jpg,Game9_5661.jpg,Game10_5661.jpg
5829.jpg,Pleasant,Game1_5829.jpg,Game2_5829.jpg,Game3_5829.jpg,Game4_5829.jpg,Game5_5829.jpg,Game6_5829.jpg,Game7_5829.jpg,Game8_5829.jpg,Game9_5829.jpg,Game10_5829.jpg
6360.jpg,Unpleasant,Game1_6360.jpg,Game2_6360.jpg,Game3_6360.jpg,Game4_6360.jpg,Game5_6360.jpg,Game6_6360.jpg,Game7_6360.jpg,Game8_6360.jpg,Game9_6360.jpg,Game10_6360.jpg
7550.jpg,Neutral,Game1_7550.jpg,Game2_7550.jpg,Game3_7550.jpg,Game4_7550.jpg,Game5_7550.jpg,Game6_7550.jpg,Game7_7550.jpg,Game8_7550.jpg,Game9_7550.jpg,Game10_7550.jpg
8090.jpg,Neutral,Game1_8090.jpg,Game2_8090.jpg,Game3_8090.jpg,Game4_8090.jpg,Game5_8090.jpg,Game6_8090.jpg,Game7_8090.jpg,Game8_8090.jpg,Game9_8090.jpg,Game10_8090.jpg
8232.jpg,Unpleasant,Game1_8232.jpg,Game2_8232.jpg,Game3_8232.jpg,Game4_8232.jpg,Game5_8232.jpg,Game6_8232.jpg,Game7_8232.jpg,Game8_8232.jpg,Game9_8232.jpg,Game10_8232.jpg
9300.jpg,Unpleasant,Game1_9300.jpg,Game2_9300.jpg,Game3_9300.jpg,Game4_9300.jpg,Game5_9300.jpg,Game6_9300.jpg,Game7_9300.jpg,Game8_9300.jpg,Game9_9300.jpg,Game10_9300.jpg
9410.jpg,Unpleasant,Game1_9410.jpg,Game2_9410.jpg,Game3_9410.jpg,Game4_9410.jpg,Game5_9410.jpg,Game6_9410.jpg,Game7_9410.jpg,Game8_9410.jpg,Game9_9410.jpg,Game10_9410.jpg
9520.jpg,Unpleasant,Game1_9520.jpg,Game2_9520.jpg,Game3_9520.jpg,Game4_9520.jpg,Game5_9520.jpg,Game6_9520.jpg,Game7_9520.jpg,Game8_9520.jpg,Game9_9520.jpg,Game10_9520.jpg
